cliente_id;nombre_cliente;segmento_cliente;ciudad;edad;ingreso_estimado;producto;saldo_producto;cupo_credito;fecha_vencimiento;fecha_movimiento;categoria_consumo;monto_consumo;canal;estado_producto
C000728;Cliente 0728;Mass;Loja;50,0;1019,9;Cuenta De Ahorros;1498,82;0,0;;2026-01-15;No Aplica;0,0;Branch;Activo
C001264;Cliente 1264;Mass;Guayaquil;57,0;471,1;Crédito Vehicular;20725,8;0,0;2029-11-14;2026-03-20;No Aplica;0,0;App;Activo
C001515;Cliente 1515;Joven;Manta;45,0;639,34;Tarjeta De Crédito;689,27;1200,0;2029-03-16;2025-11-06;Food;16,63;Branch;Activo
C002171;Cliente 2171;Mass;Guayaquil;23,0;1159,3;Cuenta De Ahorros;5001,88;0,0;;2025-06-09;No Aplica;0,0;App;Activo
C001848;Cliente 1848;Premium;Guayaquil;46,0;3037,26;Tarjeta De Crédito;1955,0;8200,0;2028-12-28;2025-03-04;Food;51,91;App;Activo
C000651;Cliente 0651;Joven;Cuenca;49,0;1023,6;Cuenta De Ahorros;4082,56;0,0;;2025-07-28;No Aplica;0,0;Web;Activo
C001846;Cliente 1846;Mass;Ambato;50,0;829,13;Tarjeta De Crédito;649,01;1200,0;2029-07-08;2026-04-10;Education;14,63;Web;Activo
C000851;Cliente 0851;Joven;Quito;24,0;1043,27;Tarjeta De Crédito;363,7;1100,0;2027-03-25;2025-09-01;Technology;48,49;Pos;Activo
C000041;Cliente 0041;Joven;Quito;42,0;591,95;Crédito Hipotecario;63176,59;0,0;2029-06-21;2025-10-03;No Aplica;0,0;Web;Activo
C000856;Cliente 0856;Premium;Quito;36,0;4550,48;Crédito Vehicular;17442,6;0,0;2027-06-28;2025-11-21;No Aplica;0,0;App;Activo
C000562;Cliente 0562;Mass;Manta;22,0;963,67;Tarjeta De Crédito;855,77;1800,0;2027-09-25;2025-12-23;Supermarket;46,84;Branch;Activo
C001948;Cliente 1948;Joven;Quito;43,0;432,69;Tarjeta De Crédito;482,45;1200,0;2026-11-13;2026-08-28;Health;5,44;Pos;Activo
C001174;Cliente 1174;Mass;Guayaquil;42,0;729,85;Cuenta Corriente;1528,4;0,0;;2026-04-13;No Aplica;0,0;Web;Activo
C000431;Cliente 0431;Mass;Guayaquil;46,0;943,23;Tarjeta De Crédito;1312,74;2800,0;2030-04-01;2025-09-11;Others;130,45;Pos;Activo
C002010;Cliente 2010;Premium;Ambato;35,0;4058,22;Cuenta Corriente;6441,1;0,0;;2025-08-20;No Aplica;0,0;Atm;Activo
C002115;Cliente 2115;Joven;Guayaquil;18,0;703,16;Tarjeta De Crédito;0,0;1000,0;2027-04-26;2026-06-14;Health;10,65;Pos;Activo
C001604;Cliente 1604;Mass;Guayaquil;21,0;1058,16;Crédito Vehicular;23759,75;0,0;2030-08-21;2026-02-25;No Aplica;0,0;Branch;Activo
C002190;Cliente 2190;Mass;Quito;38,0;1141,09;Cuenta De Ahorros;2527,68;0,0;;2025-06-09;No Aplica;0,0;Branch;Activo
C002059;Cliente 2059;Mass;Quito;59,0;514,32;Tarjeta De Crédito;358,44;1500,0;2029-01-16;2025-06-30;Technology;63,87;App;Activo
C000154;Cliente 0154;Premium;Quito;34,0;2386,12;Tarjeta De Crédito;347,24;5800,0;2026-10-13;2026-01-25;Travel;387,56;App;Activo
C000801;Cliente 0801;Mass;Cuenca;39,0;1308,02;Tarjeta De Crédito;0,0;2200,0;2029-08-21;2026-05-14;Streaming;42,87;Pos;Activo
C000873;Cliente 0873;Mass;Guayaquil;53,0;599,16;Crédito Hipotecario;74186,47;0,0;2027-05-18;2025-10-24;No Aplica;0,0;Branch;Activo
C001939;Cliente 1939;Mass;Guayaquil;18,0;616,4;Tarjeta De Crédito;427,56;1500,0;2028-10-25;2026-02-15;Entertainment;51,99;Pos;Activo
C001780;Cliente 1780;Affluent;Quito;51,0;3527,59;Tarjeta De Crédito;2240,35;7100,0;2029-12-07;2026-06-13;Food;116,85;Pos;Activo
C001250;Cliente 1250;Pyme;Guayaquil;35,0;2916,91;Tarjeta De Crédito;1244,39;7500,0;2029-08-03;2025-10-19;Food;184,94;Pos;Activo
C000919;Cliente 0919;Joven;Quito;46,0;1045,75;Tarjeta De Crédito;872,95;2000,0;2028-07-19;2026-04-26;Entertainment;189,79;Pos;Activo
C001262;Cliente 1262;Affluent;Guayaquil;42,0;1949,59;Crédito De Consumo;2046,82;0,0;2027-11-12;2025-10-22;No Aplica;0,0;App;Activo
C001281;Cliente 1281;Premium;Guayaquil;50,0;5937,85;Tarjeta De Crédito;3745,24;11300,0;2028-06-03;2025-03-16;Health;302,17;Pos;Activo
C000224;Cliente 0224;Joven;Quito;29,0;503,52;Tarjeta De Crédito;357,5;1000,0;2029-10-22;2026-07-09;Education;44,73;Pos;Activo
