cliente_id;nombre_cliente;edad;ingreso_estimado;ciudad;segmento_cliente;total_saldo;total_cupo;cantidad_productos;Education;Entertainment;Food;Fuel;Health;No Aplica;Others;Streaming;Supermarket;Technology;Travel;consumo_total;segmento_conductual
C000001;Cliente 0001;37,0;5885,36;Guayaquil;Affluent;16316,25;6200,0;2;0,0;449,07;281,67;0,0;55,6;0,0;217,78;757,75;390,75;1231,5;0,0;3384,12;General Shopper
C000002;Cliente 0002;55,0;651,61;Loja;Pyme;73539,54;800,0;2;0,0;0,0;0,0;74,31;0,0;0,0;67,63;27,66;41,73;0,0;0,0;211,32999999999998;General Shopper
C000003;Cliente 0003;31,0;2471,02;Manta;Affluent;2135,69;6600,0;1;0,0;306,26;456,69;0,0;0,0;0,0;130,06;0,0;0,0;0,0;147,89;1040,9;General Shopper
C000004;Cliente 0004;53,0;2186,7;Guayaquil;Mass;3016,39;0,0;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Sin Consumo
C000005;Cliente 0005;45,0;3223,56;Manta;Premium;28997,68;0,0;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Sin Consumo
C000006;Cliente 0006;38,0;898,59;Manta;Affluent;21375,74;1400,0;3;0,0;0,0;48,3;0,0;29,73;0,0;0,0;0,0;0,0;73,84;56,68;208,55;General Shopper
C000007;Cliente 0007;49,0;2302,95;Quito;Affluent;1600,2;6400,0;1;0,0;0,0;222,89;0,0;67,76;0,0;0,0;0,0;32,58;0,0;521,4100000000001;844,6400000000001;Travel Lover
C000008;Cliente 0008;44,0;3050,52;Ambato;Pyme;70180,93;6200,0;4;0,0;0,0;1108,78;0,0;437,34;0,0;106,31;319,45;146,44;0,0;540,66;2658,9799999999996;General Shopper
C000009;Cliente 0009;36,0;350,0;Quito;Joven;6183,17;500,0;4;31,52;95,67;39,94;0,0;0,0;0,0;0,0;36,99;0,0;0,0;0,0;204,12;General Shopper
C000010;Cliente 0010;45,0;695,13;Quito;Mass;4878,84;2000,0;2;81,11;104,1;0,0;61,269999999999996;217,17000000000002;0,0;19,31;40,66;64,09;9,59;43,65;640,95;General Shopper
C000011;Cliente 0011;36,0;964,58;Guayaquil;Mass;4164,41;0,0;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Sin Consumo
C000012;Cliente 0012;33,0;929,56;Cuenca;Mass;45251,35;1400,0;2;0,0;0,0;87,45;0,0;0,0;0,0;0,0;121,72;0,0;90,49000000000001;0,0;299,66;General Shopper
C000013;Cliente 0013;47,0;720,55;Quito;Mass;77635,05;1500,0;3;0,0;102,03;12,59;0,0;41,7;0,0;0,0;0,0;69,57;0,0;0,0;225,89;General Shopper
C000014;Cliente 0014;18,0;731,54;Quito;Mass;70699,41;1500,0;3;0,0;0,0;34,61;0,0;0,0;0,0;0,0;0,0;0,0;174,47;0,0;209,07999999999998;Tech Lover
C000015;Cliente 0015;61,0;474,67;Ambato;Mass;28404,99;800,0;2;19,97;126,77000000000001;0,0;0,0;0,0;0,0;0,0;0,0;50,51;96,42999999999999;43,17;336,85;General Shopper
C000016;Cliente 0016;47,0;622,99;Guayaquil;Mass;5388,6900000000005;800,0;2;0,0;166,88;0,0;233,16;42,91;0,0;42,02;0,0;4,65;0,0;25,16;514,78;General Shopper
C000017;Cliente 0017;46,0;612,39;Loja;Mass;11701,54;1400,0;2;0,0;0,0;23,23;0,0;164,02999999999997;0,0;0,0;13,94;0,0;0,0;141,10999999999999;342,30999999999995;General Shopper
C000018;Cliente 0018;42,0;505,61;Manta;Mass;1595,3500000000001;600,0;2;0,0;175,66000000000003;0,0;0,0;0,0;0,0;0,0;240,71;0,0;40,92;0,0;457,29;Streaming Lover
C000019;Cliente 0019;41,0;1682,29;Guayaquil;Premium;6599,08;2200,0;2;0,0;56,55;71,77;0,0;0,0;0,0;0,0;0,0;170,52;260,63;510,37;1069,8400000000001;General Shopper
C000020;Cliente 0020;48,0;600,42;Guayaquil;Mass;73749,25000000001;1000,0;3;59,050000000000004;0,0;0,0;0,0;0,0;0,0;0,0;96,87;88,33000000000001;0,0;0,0;244,25000000000003;General Shopper
C000021;Cliente 0021;31,0;997,11;Quito;Mass;670,79;2200,0;1;0,0;189,76;0,0;61,24;134,9;0,0;69,18;0,0;46,49;0,0;0,0;501,57000000000005;General Shopper
C000022;Cliente 0022;49,0;855,9;Manta;Mass;5571,35;0,0;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Sin Consumo
C000023;Cliente 0023;41,0;3313,83;Quito;Affluent;85891,68;0,0;3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Sin Consumo
C000024;Cliente 0024;53,0;599,45;Guayaquil;Mass;1707,5300000000002;1300,0;2;0,0;16,79;88,77;90,89999999999999;0,0;0,0;0,0;55,87;83,19;7,64;28,73;371,89;General Shopper
C000025;Cliente 0025;26,0;350,0;Manta;Joven;3577,25;500,0;3;0,0;63,21;26,72;121,9;13,45;0,0;0,0;2,46;0,0;24,759999999999998;112,21000000000001;364,71000000000004;General Shopper
C000026;Cliente 0026;18,0;784,0;Quito;Mass;1029,3;1700,0;1;0,0;0,0;0,0;0,0;0,0;0,0;11,24;105,97;0,0;48,63;16,51;182,35;Streaming Lover
C000027;Cliente 0027;18,0;1471,27;Guayaquil;Mass;6734,65;4000,0;2;0,0;0,0;38,39;0,0;0,0;0,0;0,0;44,9;79,49000000000001;59,35;82,73;304,86;General Shopper
C000028;Cliente 0028;18,0;781,82;Loja;Mass;12079,640000000001;1700,0;2;0,0;57,16;0,0;0,0;0,0;0,0;64,83;0,0;154,0;27,28;0,0;303,27;General Shopper
C000029;Cliente 0029;28,0;632,38;Guayaquil;Joven;2460,23;1300,0;2;0,0;0,0;210,29;0,0;0,0;0,0;48,94;37,21;32,27;0,0;75,31;404,02;Food Lover
C000030;Cliente 0030;37,0;1002,91;Quito;Joven;1549,1;2400,0;2;135,35;27,66;48,79;40,2;105,86;0,0;192,82;43,63;386,17999999999995;0,0;0,0;980,49;General Shopper
C000031;Cliente 0031;48,0;1683,31;Quito;Joven;35564,69;2300,0;2;79,71;294,01;357,46;0,0;86,12;0,0;145,41;0,0;0,0;123,48;0,0;1086,1899999999998;General Shopper
C000032;Cliente 0032;19,0;2495,57;Quito;Affluent;23967,69;0,0;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Sin Consumo
C000033;Cliente 0033;45,0;2874,75;Ambato;Pyme;20099,62;0,0;3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Sin Consumo
C000034;Cliente 0034;39,0;4102,36;Quito;Premium;18395,55;0,0;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Sin Consumo
C000035;Cliente 0035;36,0;2601,37;Guayaquil;Pyme;73945,79;7500,0;4;0,0;906,79;136,7;0,0;0,0;0,0;175,9;500,81;0,0;0,0;0,0;1720,2;General Shopper
C000036;Cliente 0036;18,0;1709,76;Cuenca;Mass;80073,69;4800,0;4;0,0;135,89;508,25;0,0;0,0;0,0;547,13;0,0;168,75;122,9;0,0;1482,92;General Shopper
C000037;Cliente 0037;46,0;2294,24;Guayaquil;Pyme;40324,0;0,0;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Sin Consumo
C000038;Cliente 0038;44,0;713,9;Guayaquil;Mass;6644,45;1300,0;2;0,0;62,5;0,0;75,33;39,07;0,0;18,98;0,0;0,0;0,0;22,32;218,2;General Shopper
C000039;Cliente 0039;37,0;3507,57;Cuenca;Pyme;2538,48;0,0;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Sin Consumo
C000040;Cliente 0040;56,0;656,11;Guayaquil;Mass;1972,09;0,0;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Sin Consumo
C000041;Cliente 0041;42,0;591,95;Quito;Joven;63907,82;1200,0;3;54,0;17,25;0,0;0,0;127,84;0,0;125,92;16,14;109,21000000000001;0,0;0,0;450,36;General Shopper
C000042;Cliente 0042;43,0;7961,83;Quito;Premium;157761,35;0,0;3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Sin Consumo
C000043;Cliente 0043;36,0;1339,41;Quito;Affluent;1270,45;2900,0;2;0,0;0,0;57,08;0,0;0,0;0,0;64,76;41,69;62,45;74,5;52,59;353,07000000000005;General Shopper
C000044;Cliente 0044;33,0;717,9;Guayaquil;Mass;63563,6;0,0;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Sin Consumo
C000045;Cliente 0045;18,0;806,19;Cuenca;Mass;655,79;1800,0;1;134,26;36,75;103,91;0,0;0,0;0,0;40,91;29,07;85,2;0,0;0,0;430,09999999999997;General Shopper
C000046;Cliente 0046;40,0;1222,9;Cuenca;Mass;8878,220000000001;2700,0;3;0,0;158,05;138,95999999999998;0,0;176,57;0,0;0,0;16,47;372,27;0,0;923,75;1786,07;Travel Lover
C000047;Cliente 0047;44,0;610,24;Quito;Mass;66325,59;800,0;2;0,0;0,0;12,9;0,0;97,3;0,0;0,0;38,13;0,0;45,56;0,0;193,89000000000001;General Shopper
C000048;Cliente 0048;56,0;1735,56;Guayaquil;Mass;9567,71;3800,0;2;631,38;173,8;103,98;0,0;112,9;0,0;210,75;0,0;13,75;108,47;73,62;1428,65;General Shopper
C000049;Cliente 0049;27,0;1168,89;Guayaquil;Mass;75545,87;0,0;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Sin Consumo
C000050;Cliente 0050;34,0;760,94;Cuenca;Mass;2016,29;900,0;2;0,0;0,0;38,53;0,0;0,0;0,0;222,47;70,22;15,11;310,18;93,02;749,53;General Shopper
C000051;Cliente 0051;48,0;621,93;Guayaquil;Joven;246,4;900,0;1;0,0;0,0;0,0;36,5;0,0;0,0;0,0;0,0;12,86;0,0;75,52;124,88;Travel Lover
C000052;Cliente 0052;47,0;492,23;Cuenca;Mass;46357,68;700,0;4;16,1;0,0;30,57;23,85;0,0;0,0;0,0;74,93;0,0;20,42;44,53;210,4;General Shopper
C000053;Cliente 0053;31,0;1802,1;Quito;Affluent;69139,17;0,0;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Sin Consumo
C000054;Cliente 0054;27,0;2185,19;Quito;Affluent;114779,51;6200,0;3;0,0;115,65;0,0;0,0;0,0;0,0;300,63;172,25;78,46;181,42;647,63;1496,04;General Shopper
C000055;Cliente 0055;30,0;1880,45;Quito;Mass;550,76;4500,0;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;412,75;0,0;229,84;642,59;General Shopper
C000056;Cliente 0056;56,0;2546,17;Ambato;Affluent;27915,730000000003;0,0;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Sin Consumo
C000057;Cliente 0057;25,0;1511,91;Quito;Mass;94337,39;2600,0;3;0,0;97,2;0,0;0,0;0,0;0,0;0,0;10,3;0,0;59,44;119,23;286,17;General Shopper
C000058;Cliente 0058;34,0;2848,8;Ambato;Affluent;22437,5;6000,0;4;202,89;0,0;103,2;517,78;59,31;0,0;534,1;177,31;0,0;0,0;316,94;1911,5300000000002;General Shopper
C000059;Cliente 0059;31,0;2880,75;Guayaquil;Affluent;6476,67;7600,0;2;0,0;111,03;661,5699999999999;337,76;613,97;0,0;0,0;148,61;155,29;941,27;0,0;2969,5;General Shopper
C000060;Cliente 0060;18,0;8409,75;Cuenca;Premium;7732,95;0,0;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Sin Consumo
C000061;Cliente 0061;49,0;2806,06;Quito;Pyme;1023,8;7700,0;1;0,0;0,0;340,29;0,0;41,69;0,0;0,0;388,33;374,96999999999997;0,0;0,0;1145,28;General Shopper
C000062;Cliente 0062;47,0;3540,36;Quito;Premium;138077,58;4500,0;3;486,64;0,0;195,01999999999998;0,0;1161,34;0,0;0,0;743,42;690,8100000000001;387,48;175,9;3840,6099999999997;General Shopper
C000063;Cliente 0063;21,0;1134,37;Quito;Mass;4299,66;3000,0;2;0,0;164,51;0,0;0,0;72,66;0,0;0,0;172,47;0,0;18,0;240,66;668,3;General Shopper
C000064;Cliente 0064;55,0;3066,82;Quito;Affluent;53405,159999999996;8100,0;2;192,55;0,0;95,4;0,0;0,0;0,0;0,0;0,0;0,0;2216,5699999999997;267,85;2772,3699999999994;Tech Lover
C000065;Cliente 0065;24,0;6186,59;Cuenca;Premium;41088,64;6800,0;3;568,35;0,0;76,66;0,0;113,19;0,0;751,92;473,02;0,0;0,0;147,7;2130,8399999999997;General Shopper
C000066;Cliente 0066;18,0;1104,18;Cuenca;Mass;4201,56;2100,0;3;49,16;89,79;0,0;43,82;0,0;0,0;79,84;97,0;134,13;161,20999999999998;122,64;777,59;General Shopper
C000067;Cliente 0067;20,0;844,75;Manta;Joven;6267,36;2400,0;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;260,37;260,37;Travel Lover
C000068;Cliente 0068;33,0;2180,77;Quito;Affluent;10015,92;4700,0;2;60,62;0,0;71,49;257,91;105,26;0,0;76,14;0,0;0,0;174,0;0,0;745,4200000000001;General Shopper
C000069;Cliente 0069;30,0;658,85;Loja;Mass;484,71;1100,0;2;0,0;25,33;143,19;18,42;0,0;0,0;57,29;102,58;0,0;162,62;0,0;509,43;General Shopper
C000070;Cliente 0070;18,0;7092,08;Guayaquil;Premium;49991,7;0,0;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Sin Consumo
C000071;Cliente 0071;37,0;3031,86;Ambato;Pyme;12333,97;0,0;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Sin Consumo
C000072;Cliente 0072;47,0;2316,76;Guayaquil;Premium;16844,55;4900,0;2;0,0;484,03;697,64;0,0;0,0;0,0;0,0;0,0;303,47;122,21;0,0;1607,3500000000001;General Shopper
C000073;Cliente 0073;39,0;7344,02;Quito;Premium;96161,82999999999;12300,0;3;1394,41;0,0;752,05;0,0;355,16;0,0;784,84;0,0;3898,8900000000003;1351,5900000000001;0,0;8536,94;General Shopper
C000074;Cliente 0074;49,0;1221,2;Ambato;Mass;19292,25;1500,0;2;0,0;123,43;91,99;286,78;0,0;0,0;39,4;371,90999999999997;92,5;37,31;31,63;1074,95;General Shopper
C000075;Cliente 0075;57,0;3180,02;Quito;Pyme;13693,1;4600,0;3;0,0;369,51;406,09000000000003;0,0;0,0;0,0;171,65;239,94;0,0;0,0;1143,78;2330,9700000000003;General Shopper
C000076;Cliente 0076;47,0;3283,02;Quito;Premium;15941,24;0,0;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Sin Consumo
C000077;Cliente 0077;29,0;1140,64;Quito;Mass;2212,63;2800,0;2;0,0;81,46;0,0;32,75;0,0;0,0;44,91;56,27;0,0;143,54;85,71;444,63999999999993;General Shopper
